Timestamp,Which of the following sentences BEST describes an architecture view?,How many years have you been developing software?,Number of OSS projects contributed to with at least one commit,How would you describe your OSS contribution?,What is your current role(s) in your organization?,What is your primary role in relation to architecture views?,"Architecture views should use an informal notation (for example boxes and arrows, icons)",Legends are not necessary in an architecture view,Architecture views should show the entire project and not just a portion of it,Architecture views should provide a high level overview of a project,Design information and runtime information are equally important to be reported in architecture views,Technologies used in a project are important in architecture views,What is the most valuable purpose(s) of an architecture view?,What is the most important concern(s) an architecture view should cover?,Which is the most important quality attribute an architecture view should cover?,For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Architecture design],For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Coding / implementation],For which activity of the project lifecycle do you find architecture views most useful? (5-point usefulness grid) [Maintenance / operations],"Are you using in some way any standard notation in your architecture views? If so, which ones?",How important are the following elements in your architecture views? [Architectural components (for example code classes)],How important are the following elements in your architecture views? [Connection/Interaction (for example HTTP calls)],How important are the following elements in your architecture views? [Layers (for example the front end)],How important are the following elements in your architecture views? [Technologies (for example Kubernetes)],How important are the following elements in your architecture views? [Nested Components (for example elements of a layer)],How important are the following elements in your architecture views? [Users (for example end users)],How important are the following elements in your architecture views? [Legends (for example meaning of the colors used)],"If you believe important elements were missing above, please specify them with their importance (as example, code snippets - very important)",Which tool do you use to create architecture views? (if any),"If you are using a tool, what made you pick it?",What are the biggest challenges you face when creating architecture views?,Who is the intended user of your architecture views?,To which extent is it important to have versionable architecture views (version control with change tracking)?,To which extent is it important to have collaborative environment integration for architecture view editing?,To which extent is it important to have ready to be-used architecture view templates?,To which extent is it important to directly link architecture view elements to software artifact (for example code classes)?,To which extend is it important to be able to automatically generate architecture views from the code?,Do you use any (semi-)automatic tool for architecture view creation?,"If yes, please specify which tool you use",Which of the following aspects could in your opinion be automated?,"In your opinion, how will the creation of architecture views change in the future?",Any further comments o suggestions?
12/15/2024 21:35:19,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,"Software Developer, Software Architect",Both creating and using architecture views,3,2,2,5,4,5,"Clarify the system structure, Ease understanding complex interactions, Highlight architecture patterns, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Reliability, Maintainability, Flexibility",Very important,Very important,Very important,UML,Important,Very important,Very important,Very important,Important,Neutral,Neutral,,Draw.io / Diagram.net,"Easy to use, Integration with other tools, Presence of templates, Free to use","Complex to create, Hard to mantain, Lack of existing documentation",End users,5,5,4,2,2,No,,"Identification of architecture components, Identification of connections / interaction between components",,
12/15/2024 22:10:56,A graphical representation showing the structure of system components,7-10 years,21+ projects,Core/maintainer team member,"Software Developer, Technical Lead",Both creating and using architecture views,4,1,4,5,3,3,"Clarify the system structure, Support onboarding new developers, Aid system documentation, Highlight architecture patterns, Show component dependencies","Deployment, Data flow, Connection of components","Functionality, Interaction capability, Flexibility",Important,Very important,Important,UML,Neutral,Important,Important,Important,Neutral,Important,Very important,,Draw.io / Diagram.net,"Easy to use, Free to use, prefer open source tools","Hard to mantain, Lack of templates","Myself, End users, New potential contributors, Existing contributors, Project maintainers",5,4,5,2,3,No,,Architecture view update,,
12/15/2024 22:16:08,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Occasional contributor,Software Developer,Both creating and using architecture views,4,2,2,5,2,2,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","Control flow, Data flow, Connection of components","Functionality, Interaction capability, Maintainability",Very important,Important,Important,,Very unimportant,Important,Neutral,Unimportant,Unimportant,Important,Important,,"Draw.io / Diagram.net, Whimsical","Easy to use, Rich of features, Already used in my development company, Free to use","Perceived low value, Too time consuming, Nobody uses the architecture views afterwards","Myself, New potential contributors, Existing contributors, Project maintainers",4,2,3,2,2,No,,n/a,,
12/16/2024 10:35:31,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,Product Owner,Using architecture views,5,3,5,5,2,3,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Aid system documentation, Visualize runtime behaviour","General documentation, Deployment, Control flow","Functionality, Interaction capability, Reliability, Flexibility",Very important,Very important,Very important,,Important,Important,Very important,Neutral,Very important,Unimportant,Neutral,,Draw.io / Diagram.net,"Easy to use, Already used in my development company, Free to use, Supports collaboration","Complex to create, Hard to mantain, Too time consuming","End users, New potential contributors, Existing contributors",3,3,4,2,3,No,,"Identification of architecture components, Identification of connections / interaction between components, Architecture view creation, Architecture view update",,
12/16/2024 12:55:12,A graphical representation showing the structure of system components,16+ years,4-10 projects,Occasional contributor,Software Developer,Using architecture views,3,2,2,4,3,1,"Clarify the system structure, Support onboarding new developers, Show component dependencies","Deployment, Connection of components","Functionality, Maintainability",Very important,Neutral,Important,UML,Unimportant,Neutral,Important,Unimportant,Unimportant,Neutral,Unimportant,,PowerPoint / Keynote / Slides,Easy to use,Hard to mantain,"Myself, New potential contributors",5,5,4,4,4,No,,"Identification of connections / interaction between components, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/16/2024 13:53:32,A graphical representation showing the structure of system components,4-6 years,4-10 projects,Occasional contributor,Software Developer,Both creating and using architecture views,4,1,5,5,2,4,"Clarify the system structure, Support onboarding new developers, Ease understanding complex interactions, Assist communication among team members, Help in design decision-making, Aid system documentation, Facilitate system evolution tracking, Highlight architecture patterns, Show component dependencies","General documentation, Connection of components","Reliability, Security, Maintainability, Flexibility",Very important,Very important,Very important,C4,Very important,Important,Important,Neutral,Important,Unimportant,Important,,Draw.io / Diagram.net,"Easy to use, Versatile, Free to use, Supports collaboration","Lack of templates, Lack of tools, Insufficient architectural design skills","Myself, End users, New potential contributors, Existing contributors, Project maintainers",5,5,5,5,4,No,,"Architecture view update, Architecture view validation, Linking architecture view elements to code artefacts (code classes, technologies, etc)",,
12/16/2024 15:05:35,A graphical representation showing the structure of system components,11-15 years,21+ projects,Core/maintainer team member,Product Owner,Both creating and using architecture views,3,3,2,5,4,4,Clarify the system structure,Data flow,"Functionality, Reliability, Safety",Very important,Important,Important,"C4, 4+1 View Model",Very important,Important,Very important,Neutral,Neutral,Important,Important,,"Draw.io / Diagram.net, PowerPoint / Keynote / Slides","Easy to use, Presence of templates","Complex to create, Lack of templates","Myself, Project maintainers",5,4,4,4,4,No,,Identification of architecture components,,
12/16/2024 16:49:42,A graphical representation showing the structure of system components,11-15 years,21+ projects,Core/maintainer team member,"Software Developer, DevOps Engineer",Both creating and using architecture views,5,3,4,4,3,4,"Clarify the system structure, Support onboarding new developers, Assist communication among team members, Aid system documentation","General documentation, Connection of components",Not sure,Very important,Important,Important,UML,Important,Very important,Important,Very important,Important,Very important,Important,,"Draw.io / Diagram.net, mermaid in markdown","Easy to use, Frequent updates, Supports collaboration, web application available on browser","Hard to mantain, Lack of existing documentation","Myself, End users, Project maintainers",5,5,4,1,1,No,,Architecture view creation,,
12/17/2024 3:38:28,A graphical representation showing the structure of system components,7-10 years,4-10 projects,Occasional contributor,Software Developer,Both creating and using architecture views,5,2,5,5,2,2,"Clarify the system structure, Ease understanding complex interactions, Highlight architecture patterns","General documentation, Data flow, Connection of components",Functionality,Very important,Unimportant,Neutral,UML,Unimportant,Important,Very important,Neutral,Neutral,Important,Important,,Draw.io / Diagram.net,"Easy to use, Versatile, Free to use",Nobody uses the architecture views afterwards,"Myself, New potential contributors, Existing contributors, Project maintainers",3,4,3,2,3,No,,Identification of connections / interaction between components,boilerplate will be generated by AI-powered tools,
12/17/2024 7:55:24,A graphical representation showing the structure of system components,7-10 years,1-3 projects,Regular contributor,Software Developer,Both creating and using architecture views,5,3,5,5,2,5,"Clarify the system structure, Support onboarding new developers","Control flow, Data flow, Connection of components","Functionality, Interaction capability",Very important,Important,Important,UML,Important,Important,Important,Important,Unimportant,Unimportant,Unimportant,,"PowerPoint / Keynote / Slides, Visio","Easy to use, Rich of features","Hard to mantain, Lack of templates","Myself, End users, New potential contributors, Existing contributors, Project maintainers",4,4,2,5,2,No,,"Architecture view update, Architecture view validation",,
